student_id,full_name,email,plain_password,role ,institution
03179618,ΘΕΟΔΩΡΙΔΗΣ ΧΡΗΣΤΟΣ,el79618@mail.ntua.gr,03179618,student,NTUA
03181006,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ,el81006@mail.ntua.gr,03181006,student,NTUA
03181014,ΚΑΡΑΜΑΝΛΗΣ ΣΟΦΙΑ,el81014@mail.ntua.gr,03181014,student,NTUA
03169868,ΜΙΧΑΗΛΙΔΟΥ ΕΛΕΝΗ,el69868@mail.ntua.gr,03169868,student,NTUA
03120614,ΘΕΟΔΩΡΙΔΗΣ ΧΡΗΣΤΟΣ,el20614@mail.ntua.gr,03120614,student,NTUA
03154464,ΜΑΡΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΑ,el54464@mail.ntua.gr,03154464,student,NTUA
03159646,ΔΗΜΗΤΡΙΟΥ ΜΑΡΙΑ,el59646@mail.ntua.gr,03159646,student,NTUA
03104541,ΘΕΟΔΩΡΙΔΗΣ ΧΡΗΣΤΟΣ,el04541@mail.ntua.gr,03104541,student,NTUA
03190043,ΚΑΡΑΜΑΝΛΗΣ ΣΟΦΙΑ,el90043@mail.ntua.gr,03190043,student,NTUA
03185716,ΜΙΧΑΗΛΙΔΟΥ ΕΛΕΝΗ,el85716@mail.ntua.gr,03185716,student,NTUA
03102436,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ,el02436@mail.ntua.gr,03102436,student,NTUA
03136640,ΚΑΡΑΜΑΝΛΗΣ ΣΟΦΙΑ,el36640@mail.ntua.gr,03136640,student,NTUA
03168193,ΚΑΡΑΜΑΝΛΗΣ ΣΟΦΙΑ,el68193@mail.ntua.gr,03168193,student,NTUA
03167786,ΔΗΜΗΤΡΙΟΥ ΜΑΡΙΑ,el67786@mail.ntua.gr,03167786,student,NTUA
03164354,ΒΑΣΙΛΕΙΟΥ ΓΕΩΡΓΙΑ,el64354@mail.ntua.gr,03164354,student,NTUA
03139197,ΜΙΧΑΗΛΙΔΟΥ ΕΛΕΝΗ,el39197@mail.ntua.gr,03139197,student,NTUA
03163712,ΓΕΩΡΓΙΟΥ ΑΝΝΑ,el63712@mail.ntua.gr,03163712,student,NTUA
03170107,ΚΑΡΑΜΑΝΛΗΣ ΣΟΦΙΑ,el70107@mail.ntua.gr,03170107,student,NTUA
03141329,ΒΑΣΙΛΕΙΟΥ ΓΕΩΡΓΙΑ,el41329@mail.ntua.gr,03141329,student,NTUA
03190203,ΓΕΩΡΓΙΟΥ ΑΝΝΑ,el90203@mail.ntua.gr,03190203,student,NTUA
03183533,ΜΙΧΑΗΛΙΔΟΥ ΕΛΕΝΗ,el83533@mail.ntua.gr,03183533,student,NTUA
03169342,ΠΑΠΑΔΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ,el69342@mail.ntua.gr,03169342,student,NTUA
03184255,ΜΑΡΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΑ,el84255@mail.ntua.gr,03184255,student,NTUA
03152609,ΒΑΣΙΛΕΙΟΥ ΓΕΩΡΓΙΑ,el52609@mail.ntua.gr,03152609,student,NTUA
03137235,ΧΑΤΖΗΓΕΩΡΓΙΟΥ ΠΑΝΑΓΙΩΤΗΣ,el37235@mail.ntua.gr,03137235,student,NTUA
03109994,ΠΑΠΑΔΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ,el09994@mail.ntua.gr,03109994,student,NTUA
03162127,ΜΑΡΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΑ,el62127@mail.ntua.gr,03162127,student,NTUA
03199686,ΔΗΜΗΤΡΙΟΥ ΜΑΡΙΑ,el99686@mail.ntua.gr,03199686,student,NTUA
03133874,ΘΕΟΔΩΡΙΔΗΣ ΧΡΗΣΤΟΣ,el33874@mail.ntua.gr,03133874,student,NTUA
03173247,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ,el73247@mail.ntua.gr,03173247,student,NTUA
03163920,ΧΑΤΖΗΓΕΩΡΓΙΟΥ ΠΑΝΑΓΙΩΤΗΣ,el63920@mail.ntua.gr,03163920,student,NTUA
03152931,ΔΗΜΗΤΡΙΟΥ ΜΑΡΙΑ,el52931@mail.ntua.gr,03152931,student,NTUA
03152497,ΜΙΧΑΗΛΙΔΟΥ ΕΛΕΝΗ,el52497@mail.ntua.gr,03152497,student,NTUA
03128941,ΔΗΜΗΤΡΙΟΥ ΜΑΡΙΑ,el28941@mail.ntua.gr,03128941,student,NTUA
03190628,ΘΕΟΔΩΡΙΔΗΣ ΧΡΗΣΤΟΣ,el90628@mail.ntua.gr,03190628,student,NTUA
03106723,ΜΙΧΑΗΛΙΔΟΥ ΕΛΕΝΗ,el06723@mail.ntua.gr,03106723,student,NTUA
03166581,ΧΑΤΖΗΓΕΩΡΓΙΟΥ ΠΑΝΑΓΙΩΤΗΣ,el66581@mail.ntua.gr,03166581,student,NTUA
03114675,ΘΕΟΔΩΡΙΔΗΣ ΧΡΗΣΤΟΣ,el14675@mail.ntua.gr,03114675,student,NTUA
03130405,ΓΕΩΡΓΙΟΥ ΑΝΝΑ,el30405@mail.ntua.gr,03130405,student,NTUA
03145125,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ,el45125@mail.ntua.gr,03145125,student,NTUA
03113527,ΧΑΤΖΗΓΕΩΡΓΙΟΥ ΠΑΝΑΓΙΩΤΗΣ,el13527@mail.ntua.gr,03113527,student,NTUA
03167892,ΓΕΩΡΓΙΟΥ ΑΝΝΑ,el67892@mail.ntua.gr,03167892,student,NTUA
03122568,ΜΑΡΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΑ,el22568@mail.ntua.gr,03122568,student,NTUA
03139123,ΧΑΤΖΗΓΕΩΡΓΙΟΥ ΠΑΝΑΓΙΩΤΗΣ,el39123@mail.ntua.gr,03139123,student,NTUA
03188373,ΜΑΡΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΑ,el88373@mail.ntua.gr,03188373,student,NTUA
03148591,ΜΙΧΑΗΛΙΔΟΥ ΕΛΕΝΗ,el48591@mail.ntua.gr,03148591,student,NTUA
03190060,ΓΕΩΡΓΙΟΥ ΑΝΝΑ,el90060@mail.ntua.gr,03190060,student,NTUA
03159939,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ,el59939@mail.ntua.gr,03159939,student,NTUA
